594	color caballo blanco santiago	Lógica e ingenio	6
595	velocidad viaja luz	Ciencias	9
596	llama propietario anillo único saga señor anillos	Cine	3
597	coloradito mata lata nadie mate dirás	Lógica e ingenio	6
598	llama hermano pequeño siete novias siete hermanos	Cine	3
601	pasos dar botar balón balonmano	Deportes	1
602	decir tierra orbita alrededor sol	Ciencias	9
603	dijo: dinero da felicidad proporciona sensación parecida necesita especialista avanzado verificar diferencia	Miscelánia	14
604	miembros componen grupo oreja gogh	Música	2
605	año primera vez humano hizo paseo superficie lunar	Historia y cultura	7
606	primer transbordador espacial construido nasa	Tecnología	10
607	pintó nostalgia infinito	Arte	8
608	pelí­cula grease habí­an protagonistas chico famoso john travolta chica	Cine	3
609	director pelí­cula llamada grease	Cine	3
610	año estrenó primera pelí­cula guerra galaxias	Cine	3
611	atleta encendió pevetero olí­mpico flecha olimpiadas barcelona 92	Deportes	1
612	saga joven hechicero harry potter existe personaje mago tenebroso llama voldemort nombre nombrarse voldemort	Lengua y literatura	17
613	año publicado primer libro saga harry potter	Lengua y literatura	17
614	año ganó michael schumacher primer mundial	Deportes	1
615	escuderí­a laureada mundial constructores	Deportes	1
616	primer gp españa (1951) disputó	Deportes	1
617	fundador wikipedia	Internet	11
618	llama alternativa wikipedia china	Internet	11
619	mencionó tres leyes robótica primera vez	Ciencias	9
620	obra usó primera vez palabra robot	Ciencias	9
621	versión cinematográfica 2001: odisea espacio cadena hotelera establecimiento estación espacial	Cine	3
622	cuándo arranca conquista marte según crónicas marcianas ray bradbury	Lengua y literatura	17
623	concursantes última edicion operacion triunfo 2007 pertencen barcelona provincia barcelona	Series y televisión	20
624	pierna pasamos apoyo realizamos picada metz	Deportes	1
627	resultado multiplicar unidad propia unidad	Lógica e ingenio	6
628	juan tenia 100 cerditos vino huracán mató 25; cerditos quedan juan	Lógica e ingenio	6
629	padre renata 5 hijas chacha cheche chichi chuchu llama quinta hija	Lógica e ingenio	6
630	fecha nació google	Internet	11
631	año fundó empresa microsoft	Tecnología	10
633	función cumplia alhambra 1238	Historia y cultura	7
634	cantante popularizo canción aire sintonia actual canal cuatro	Series y televisión	20
635	función cumple agua construción histórica alhambra	Historia y cultura	7
636	palacios sobrevivido paso tiempos alhambra	Historia y cultura	7
637	quantas esposas permite koran	Religión	15
638	pintor español corresponde frase: inspiración existe encontrarte trabajando	Miscelánia	14
639	pintor pintó famoso cuadro gioconda conocido mona lisa	Arte	8
